,날짜,품목명,평균가격,전일평균가격,전년가격,등급,평균기온,강수량
2,20170101,대파(일반),1556.3,1747.0,0.0,중,4.3,0.0
7,20170103,대파(일반),1747.0,0.0,1611.0,중,5.1,0.0
11,20170104,대파(일반),2000.0,1747.0,1797.0,중,4.4,0.0
15,20170105,대파(일반),2000.0,2000.0,1707.0,중,7.5,0.5
19,20170106,대파(일반),2000.0,2000.0,1566.0,중,7.2,0.2
23,20170107,대파(일반),1556.3,2000.0,1529.0,중,7.1,1.0
28,20170109,대파(일반),2000.0,0.0,0.0,중,5.6,0.0
32,20170110,대파(일반),1693.0,2000.0,1574.0,중,4.2,0.0
36,20170111,대파(일반),1747.0,1693.0,1390.0,중,1.9,0.1
40,20170112,대파(일반),1647.0,1747.0,1406.0,중,3.7,0.2
44,20170113,대파(일반),1630.0,1647.0,1453.0,중,3.1,0.1
48,20170114,대파(일반),1556.3,1630.0,1400.0,중,0.1,0.1
53,20170116,대파(일반),1630.0,0.0,0.0,중,1.8,0.0
57,20170117,대파(일반),1630.0,1630.0,1629.0,중,0.8,0.0
61,20170118,대파(일반),1630.0,1630.0,1565.0,중,3.5,0.0
65,20170119,대파(일반),1766.0,1630.0,1656.0,중,2.5,0.0
69,20170120,대파(일반),1732.0,1766.0,1770.0,중,0.8,5.5
73,20170121,대파(일반),1556.3,1732.0,1765.0,중,1.9,0.0
78,20170123,대파(일반),1826.0,0.0,0.0,중,-0.5,0.2
82,20170124,대파(일반),1996.0,1826.0,2057.0,중,0.9,0.0
86,20170125,대파(일반),1800.0,1996.0,2434.0,중,0.9,0.0
90,20170126,대파(일반),2000.0,1800.0,1903.0,중,1.3,0.0
94,20170127,대파(일반),1556.3,2000.0,2525.0,중,3.1,0.5
98,20170128,대파(일반),1556.3,0.0,2665.0,중,3.9,0.0
104,20170131,대파(일반),1556.3,0.0,2861.0,중,-0.4,0.0
108,20170201,대파(일반),2000.0,0.0,2983.0,중,1.8,0.0
112,20170202,대파(일반),2000.0,2000.0,2827.0,중,0.9,0.0
116,20170203,대파(일반),1922.0,2000.0,2953.0,중,1.7,0.0
120,20170204,대파(일반),1556.3,1922.0,3000.0,중,6.9,3.0
125,20170206,대파(일반),1600.0,0.0,0.0,중,2.9,0.0
129,20170207,대파(일반),1691.0,1600.0,0.0,중,2.4,0.0
133,20170208,대파(일반),1556.3,1691.0,0.0,중,2.6,0.3
137,20170209,대파(일반),1600.0,0.0,0.0,중,0.0,0.5
141,20170210,대파(일반),1609.0,1600.0,2696.0,중,-1.5,4.5
145,20170211,대파(일반),1556.3,1609.0,2435.0,중,0.2,0.5
150,20170213,대파(일반),2030.0,0.0,0.0,중,2.9,0.0
154,20170214,대파(일반),2020.0,2030.0,1737.0,중,3.8,0.0
158,20170215,대파(일반),1847.0,2020.0,1810.0,중,2.1,0.0
162,20170216,대파(일반),1799.0,1847.0,1777.0,중,8.5,2.0
166,20170217,대파(일반),1844.0,1799.0,1930.0,중,5.1,1.0
170,20170218,대파(일반),1556.3,1844.0,2039.0,중,0.7,0.0
175,20170220,대파(일반),1844.0,0.0,0.0,중,3.8,0.5
179,20170221,대파(일반),1844.0,1844.0,0.0,중,3.2,0.0
183,20170222,대파(일반),1844.0,1844.0,2136.0,중,8.1,14.5
187,20170223,대파(일반),1844.0,1844.0,2000.0,중,2.6,0.0
191,20170224,대파(일반),1844.0,1844.0,2002.0,중,1.6,0.0
195,20170225,대파(일반),1556.3,1844.0,2000.0,중,4.0,0.0
200,20170227,대파(일반),1835.0,0.0,0.0,중,3.7,0.0
204,20170228,대파(일반),1947.0,1835.0,1964.0,중,3.7,0.0
208,20170301,대파(일반),1556.3,1947.0,0.0,중,6.9,1.5
212,20170302,대파(일반),2295.0,0.0,1987.0,중,3.4,0.0
216,20170303,대파(일반),2544.0,2295.0,2007.0,중,3.7,0.0
220,20170304,대파(일반),2502.0,2544.0,2061.0,중,5.4,0.0
224,20170305,대파(일반),1556.3,2502.0,0.0,중,6.0,0.0
228,20170306,대파(일반),2675.0,0.0,0.0,중,3.0,0.0
232,20170307,대파(일반),2737.0,2675.0,2211.0,중,0.8,0.5
236,20170308,대파(일반),1556.3,2737.0,2350.0,중,4.0,0.0
240,20170309,대파(일반),2671.0,0.0,2211.0,중,7.1,0.0
244,20170310,대파(일반),2613.0,2671.0,2123.0,중,5.5,0.0
248,20170311,대파(일반),2547.0,2613.0,1995.0,중,6.0,0.0
252,20170312,대파(일반),1556.3,2547.0,0.0,중,8.2,0.0
256,20170313,대파(일반),2956.0,0.0,0.0,중,6.7,0.0
260,20170314,대파(일반),2457.0,2956.0,1864.0,중,6.0,0.0
264,20170315,대파(일반),2373.0,2457.0,1886.0,중,4.9,0.0
268,20170316,대파(일반),2376.0,2373.0,1924.0,중,4.1,0.0
272,20170317,대파(일반),2192.0,2376.0,1854.0,중,5.3,0.0
276,20170318,대파(일반),2172.0,2192.0,1883.0,중,6.7,0.0
280,20170319,대파(일반),1556.3,2172.0,0.0,중,8.9,0.0
284,20170320,대파(일반),2235.0,0.0,0.0,중,8.6,6.0
288,20170321,대파(일반),2670.0,2235.0,1738.0,중,7.0,1.0
292,20170322,대파(일반),2284.0,2670.0,1651.0,중,7.2,0.0
296,20170323,대파(일반),2400.0,2284.0,1596.0,중,7.9,0.0
300,20170324,대파(일반),2238.0,2400.0,1484.0,중,7.7,0.0
304,20170325,대파(일반),2200.0,2238.0,1549.0,중,7.3,3.5
308,20170326,대파(일반),1556.3,2200.0,0.0,중,5.7,0.0
312,20170327,대파(일반),2171.0,0.0,0.0,중,7.1,0.0
316,20170328,대파(일반),2171.0,2171.0,1524.0,중,7.7,5.0
320,20170329,대파(일반),1901.0,2171.0,1682.0,중,9.6,2.5
324,20170330,대파(일반),2179.0,1901.0,1818.0,중,9.4,0.0
328,20170331,대파(일반),2379.0,2179.0,1826.0,중,9.0,4.5
332,20170401,대파(일반),2100.0,2379.0,1826.0,중,8.2,0.0
336,20170402,대파(일반),2100.0,2100.0,0.0,중,7.1,0.0
340,20170403,대파(일반),1939.0,2100.0,0.0,중,8.6,0.0
344,20170404,대파(일반),2145.0,1939.0,1766.0,중,12.5,0.0
348,20170405,대파(일반),1909.0,2145.0,1780.0,중,15.4,28.0
352,20170406,대파(일반),1830.0,1909.0,1735.0,중,12.7,3.5
356,20170407,대파(일반),1800.0,1830.0,1736.0,중,12.0,0.0
360,20170408,대파(일반),2067.0,1800.0,1761.0,중,11.7,0.0
364,20170409,대파(일반),2067.0,2067.0,0.0,중,13.1,0.0
368,20170410,대파(일반),1694.0,2067.0,0.0,중,14.7,0.0
372,20170411,대파(일반),1800.0,1694.0,1800.0,중,10.9,9.5
376,20170412,대파(일반),1863.0,1800.0,1841.0,중,10.6,0.0
380,20170413,대파(일반),1889.0,1863.0,0.0,중,11.9,0.0
384,20170414,대파(일반),1494.0,1889.0,0.0,중,15.7,0.0
388,20170415,대파(일반),1364.0,1494.0,1799.0,중,17.4,0.0
392,20170416,대파(일반),1218.0,1364.0,0.0,중,17.2,0.0
396,20170417,대파(일반),1297.0,1218.0,0.0,중,14.8,3.0
400,20170418,대파(일반),1500.0,1297.0,1676.0,중,13.0,0.0
404,20170419,대파(일반),1400.0,1500.0,1583.0,중,12.6,0.0
408,20170420,대파(일반),1365.0,1400.0,1564.0,중,12.3,3.5
412,20170421,대파(일반),1233.0,1365.0,1557.0,중,13.3,0.0
416,20170422,대파(일반),1254.0,1233.0,1561.0,중,12.2,0.0
420,20170423,대파(일반),1138.0,1254.0,0.0,중,12.3,0.0
424,20170424,대파(일반),1182.0,1138.0,0.0,중,14.1,0.0
428,20170425,대파(일반),1172.0,1182.0,1600.0,중,17.5,0.0
432,20170426,대파(일반),1205.0,1172.0,1562.0,중,14.6,0.5
436,20170427,대파(일반),994.0,1205.0,1509.0,중,12.3,0.0
440,20170428,대파(일반),908.0,994.0,1502.0,중,14.5,0.0
444,20170429,대파(일반),884.0,908.0,1569.0,중,16.8,0.0
448,20170430,대파(일반),903.0,884.0,0.0,중,19.3,0.0
452,20170501,대파(일반),993.0,903.0,0.0,중,17.0,0.0
456,20170502,대파(일반),1095.0,993.0,1755.0,중,16.8,0.0
460,20170503,대파(일반),950.0,1095.0,1790.0,중,17.4,0.0
464,20170504,대파(일반),1104.0,950.0,1393.0,중,17.7,4.0
468,20170505,대파(일반),968.0,1104.0,1580.0,중,17.8,3.0
472,20170506,대파(일반),878.0,968.0,1500.0,중,14.8,0.0
476,20170507,대파(일반),829.0,878.0,0.0,중,14.8,0.0
480,20170508,대파(일반),1059.0,829.0,0.0,중,17.0,0.0
484,20170509,대파(일반),1116.0,1059.0,1566.0,중,14.6,6.0
488,20170510,대파(일반),1205.0,1116.0,1450.0,중,14.7,0.5
492,20170511,대파(일반),1337.0,1205.0,1498.0,중,20.1,0.0
496,20170512,대파(일반),1021.0,1337.0,1500.0,중,18.1,1.0
500,20170513,대파(일반),1394.0,1021.0,1500.0,중,17.2,0.0
504,20170514,대파(일반),1394.0,1394.0,0.0,중,15.6,0.0
508,20170515,대파(일반),1230.0,1394.0,0.0,중,14.3,0.0
512,20170516,대파(일반),975.0,1230.0,0.0,중,14.9,0.0
516,20170517,대파(일반),966.0,975.0,1511.0,중,15.5,0.0
520,20170518,대파(일반),1155.0,966.0,1493.0,중,17.4,0.0
524,20170519,대파(일반),1000.0,1155.0,1458.0,중,17.9,0.0
528,20170520,대파(일반),1200.0,1000.0,1428.0,중,18.0,0.0
532,20170521,대파(일반),1200.0,1200.0,0.0,중,18.5,0.0
536,20170522,대파(일반),1200.0,1200.0,0.0,중,19.9,0.0
540,20170523,대파(일반),1065.0,1200.0,1499.0,중,19.5,0.0
544,20170524,대파(일반),1086.0,1065.0,1483.0,중,19.7,0.0
548,20170525,대파(일반),1200.0,1086.0,1501.0,중,18.1,0.0
552,20170526,대파(일반),1104.0,1200.0,1492.0,중,16.3,0.0
556,20170527,대파(일반),1106.0,1104.0,1475.0,중,15.8,0.0
560,20170528,대파(일반),1106.0,1106.0,0.0,중,18.5,0.0
564,20170529,대파(일반),1309.0,1106.0,0.0,중,20.3,0.0
568,20170530,대파(일반),1273.0,1309.0,1483.0,중,21.0,0.0
572,20170531,대파(일반),1131.0,1273.0,1598.0,중,21.1,0.0
576,20170601,대파(일반),1033.0,1131.0,1628.0,중,19.4,0.0
580,20170602,대파(일반),1059.0,1033.0,1531.0,중,18.3,0.0
584,20170603,대파(일반),1286.0,1059.0,1463.0,중,19.0,0.0
588,20170604,대파(일반),1269.0,1286.0,0.0,중,18.7,0.0
592,20170605,대파(일반),1244.0,1269.0,0.0,중,21.2,0.0
596,20170606,대파(일반),982.0,1244.0,0.0,중,19.3,21.5
600,20170607,대파(일반),1000.0,982.0,1424.0,중,18.2,1.5
604,20170608,대파(일반),1071.0,1000.0,1369.0,중,18.5,0.0
608,20170609,대파(일반),1109.0,1071.0,1278.0,중,20.3,0.0
612,20170610,대파(일반),984.0,1109.0,1287.0,중,21.5,0.0
616,20170611,대파(일반),984.0,984.0,0.0,중,21.0,0.0
620,20170612,대파(일반),989.0,984.0,0.0,중,18.9,0.0
624,20170613,대파(일반),1028.0,989.0,1246.0,중,19.4,0.0
628,20170614,대파(일반),979.0,1028.0,1290.0,중,19.1,0.0
632,20170615,대파(일반),1049.0,979.0,1261.0,중,20.2,0.0
636,20170616,대파(일반),947.0,1049.0,1270.0,중,20.7,0.0
640,20170617,대파(일반),999.0,947.0,1172.0,중,21.7,0.0
644,20170618,대파(일반),999.0,999.0,0.0,중,21.4,0.0
648,20170619,대파(일반),1088.0,999.0,0.0,중,22.5,0.0
652,20170620,대파(일반),1013.0,1088.0,1300.0,중,21.8,0.0
656,20170621,대파(일반),971.0,1013.0,1288.0,중,21.7,0.0
660,20170622,대파(일반),965.0,971.0,1289.0,중,23.1,0.0
664,20170623,대파(일반),985.0,965.0,1286.0,중,22.8,0.0
668,20170624,대파(일반),940.0,985.0,1195.0,중,22.2,0.0
672,20170625,대파(일반),940.0,940.0,0.0,중,22.8,0.0
676,20170626,대파(일반),1000.0,940.0,0.0,중,23.5,0.0
680,20170627,대파(일반),1000.0,1000.0,1083.0,중,23.3,0.0
684,20170628,대파(일반),984.0,1000.0,1136.0,중,23.4,0.0
688,20170629,대파(일반),949.0,984.0,1112.0,중,22.2,5.0
692,20170630,대파(일반),900.0,949.0,1525.0,중,23.3,0.2
696,20170701,대파(일반),842.0,900.0,1251.0,중,25.0,0.5
700,20170702,대파(일반),1556.3,842.0,1125.0,중,26.0,0.0
704,20170703,대파(일반),876.0,0.0,0.0,중,26.3,0.0
708,20170704,대파(일반),993.0,876.0,1246.0,중,26.0,5.0
712,20170705,대파(일반),857.0,993.0,1223.0,중,27.7,0.5
716,20170706,대파(일반),889.0,857.0,1251.0,중,25.2,23.0
720,20170707,대파(일반),925.0,889.0,1159.0,중,26.7,2.5
724,20170708,대파(일반),833.0,925.0,1172.0,중,25.2,33.0
728,20170709,대파(일반),1556.3,833.0,0.0,중,26.4,0.0
732,20170710,대파(일반),829.0,0.0,0.0,중,26.6,0.2
736,20170711,대파(일반),866.0,829.0,944.0,중,24.9,0.0
740,20170712,대파(일반),992.0,866.0,977.0,중,25.2,0.0
744,20170713,대파(일반),993.0,992.0,922.0,중,26.9,0.0
748,20170714,대파(일반),984.0,993.0,896.0,중,27.8,1.0
752,20170715,대파(일반),731.0,984.0,1002.0,중,27.6,0.5
756,20170716,대파(일반),731.0,731.0,0.0,중,28.6,0.0
760,20170717,대파(일반),1062.0,731.0,0.0,중,27.3,0.5
764,20170718,대파(일반),1117.0,1062.0,1133.0,중,0.0,18.5
768,20170719,대파(일반),984.0,1117.0,1166.0,중,0.0,18.5
784,20170723,대파(일반),1556.3,1200.0,812.0,중,28.7,0.0
788,20170724,대파(일반),1014.0,0.0,0.0,중,29.3,0.0
792,20170725,대파(일반),1152.0,1014.0,941.0,중,27.2,0.0
796,20170726,대파(일반),1421.0,1152.0,913.0,중,26.9,0.0
800,20170727,대파(일반),1381.0,1421.0,964.0,중,25.6,0.0
804,20170728,대파(일반),1255.0,1381.0,940.0,중,27.4,0.0
808,20170729,대파(일반),1556.3,1255.0,949.0,중,27.5,0.0
812,20170730,대파(일반),1349.0,0.0,0.0,중,27.6,0.0
816,20170731,대파(일반),1224.0,1349.0,0.0,중,27.1,9.5
820,20170801,대파(일반),1251.0,1224.0,1216.0,중,29.3,0.0
824,20170802,대파(일반),1396.0,1251.0,1085.0,중,28.0,0.0
828,20170803,대파(일반),1149.0,1396.0,1034.0,중,28.0,0.0
832,20170804,대파(일반),1457.0,1149.0,1009.0,중,29.0,0.0
836,20170805,대파(일반),1665.0,1457.0,1031.0,중,29.2,0.0
840,20170806,대파(일반),1665.0,1665.0,0.0,중,28.8,0.0
844,20170807,대파(일반),1665.0,1665.0,0.0,중,28.6,0.0
848,20170808,대파(일반),1286.0,1665.0,1479.0,중,27.6,1.5
852,20170809,대파(일반),1356.0,1286.0,1270.0,중,26.3,6.5
856,20170810,대파(일반),1439.0,1356.0,1034.0,중,26.2,0.0
860,20170811,대파(일반),1500.0,1439.0,873.0,중,26.5,0.0
864,20170812,대파(일반),1800.0,1500.0,1000.0,중,26.6,0.0
868,20170813,대파(일반),1800.0,1800.0,0.0,중,24.9,21.5
872,20170814,대파(일반),1516.0,1800.0,0.0,중,25.8,88.5
876,20170815,대파(일반),1800.0,1516.0,0.0,중,26.0,7.0
880,20170816,대파(일반),1436.0,1800.0,0.0,중,25.7,0.0
884,20170817,대파(일반),1892.0,1436.0,1230.0,중,24.8,0.1
888,20170818,대파(일반),1750.0,1892.0,1180.0,중,25.1,0.0
892,20170819,대파(일반),1868.0,1750.0,1542.0,중,25.0,6.4
896,20170820,대파(일반),1556.3,1868.0,0.0,중,27.1,33.5
900,20170821,대파(일반),1980.0,0.0,0.0,중,26.4,69.5
904,20170822,대파(일반),1801.0,1980.0,1517.0,중,26.8,26.5
908,20170823,대파(일반),1800.0,1801.0,1561.0,중,29.1,0.1
912,20170824,대파(일반),1982.0,1800.0,1227.0,중,29.1,0.1
916,20170825,대파(일반),1955.0,1982.0,1320.0,중,26.4,0.0
920,20170826,대파(일반),2000.0,1955.0,1487.0,중,25.7,0.0
924,20170827,대파(일반),2000.0,2000.0,0.0,중,23.9,0.0
928,20170828,대파(일반),1960.0,2000.0,0.0,중,26.0,0.0
932,20170829,대파(일반),2048.0,1960.0,1784.0,중,23.6,0.4
936,20170830,대파(일반),1979.0,2048.0,1883.0,중,21.9,0.0
