,날짜,품목명,평균가격,전일평균가격,전년가격,등급,평균기온,강수량
1,20170101,대파(일반),1937.3,2164.0,0.0,상,4.3,0.0
6,20170103,대파(일반),2164.0,0.0,1926.0,상,5.1,0.0
10,20170104,대파(일반),2100.0,2164.0,2126.0,상,4.4,0.0
14,20170105,대파(일반),2100.0,2100.0,1848.0,상,7.5,0.5
18,20170106,대파(일반),2100.0,2100.0,1865.0,상,7.2,0.2
22,20170107,대파(일반),1937.3,2100.0,1755.0,상,7.1,1.0
27,20170109,대파(일반),2100.0,0.0,0.0,상,5.6,0.0
31,20170110,대파(일반),2100.0,2100.0,1912.0,상,4.2,0.0
35,20170111,대파(일반),1889.0,2100.0,1685.0,상,1.9,0.1
39,20170112,대파(일반),1975.0,1889.0,1762.0,상,3.7,0.2
43,20170113,대파(일반),1984.0,1975.0,1757.0,상,3.1,0.1
47,20170114,대파(일반),1937.3,1984.0,1579.0,상,0.1,0.1
52,20170116,대파(일반),1984.0,0.0,0.0,상,1.8,0.0
56,20170117,대파(일반),1984.0,1984.0,1850.0,상,0.8,0.0
60,20170118,대파(일반),1984.0,1984.0,1821.0,상,3.5,0.0
64,20170119,대파(일반),1912.0,1984.0,1944.0,상,2.5,0.0
68,20170120,대파(일반),1891.0,1912.0,1932.0,상,0.8,5.5
72,20170121,대파(일반),1937.3,1891.0,1949.0,상,1.9,0.0
77,20170123,대파(일반),2105.0,0.0,0.0,상,-0.5,0.2
81,20170124,대파(일반),2230.0,2105.0,2960.0,상,0.9,0.0
85,20170125,대파(일반),1964.0,2230.0,2967.0,상,0.9,0.0
89,20170126,대파(일반),2193.0,1964.0,2689.0,상,1.3,0.0
93,20170127,대파(일반),1937.3,2193.0,2714.0,상,3.1,0.5
97,20170128,대파(일반),1937.3,0.0,3198.0,상,3.9,0.0
103,20170131,대파(일반),1937.3,0.0,3331.0,상,-0.4,0.0
107,20170201,대파(일반),2193.0,0.0,3423.0,상,1.8,0.0
111,20170202,대파(일반),2050.0,2193.0,3260.0,상,0.9,0.0
115,20170203,대파(일반),2234.0,2050.0,3214.0,상,1.7,0.0
119,20170204,대파(일반),1937.3,2234.0,3118.0,상,6.9,3.0
124,20170206,대파(일반),1848.0,0.0,0.0,상,2.9,0.0
128,20170207,대파(일반),2185.0,1848.0,0.0,상,2.4,0.0
132,20170208,대파(일반),1937.3,2185.0,0.0,상,2.6,0.3
136,20170209,대파(일반),1929.0,0.0,0.0,상,0.0,0.5
140,20170210,대파(일반),1932.0,1929.0,3323.0,상,-1.5,4.5
144,20170211,대파(일반),1937.3,1932.0,3170.0,상,0.2,0.5
149,20170213,대파(일반),2500.0,0.0,0.0,상,2.9,0.0
