지점,지점명,일시,평균기온(°C),일강수량(mm)
268,진도군,2021-05-06,14.7,
268,진도군,2021-05-07,16.6,
268,진도군,2021-05-08,15.2,
268,진도군,2021-05-09,16.4,
268,진도군,2021-05-10,18.2,
268,진도군,2021-05-11,19.7,
268,진도군,2021-05-12,20,
268,진도군,2021-05-13,19,
268,진도군,2021-05-14,20.4,0
268,진도군,2021-05-15,21.7,20.5
268,진도군,2021-05-16,19.9,45.6
268,진도군,2021-05-17,15.1,.8
268,진도군,2021-05-18,16.2,
268,진도군,2021-05-19,19.4,
268,진도군,2021-05-20,16.2,13
268,진도군,2021-05-21,16.7,
268,진도군,2021-05-22,17.9,
268,진도군,2021-05-23,19.7,0
268,진도군,2021-05-24,17.6,0
268,진도군,2021-05-25,17.3,
268,진도군,2021-05-26,17.1,.7
268,진도군,2021-05-27,16.9,.6
268,진도군,2021-05-28,18.7,0
268,진도군,2021-05-29,18.2,
268,진도군,2021-05-30,20.3,
268,진도군,2021-05-31,21.2,
268,진도군,2021-06-01,21.9,
268,진도군,2021-06-02,22.6,
268,진도군,2021-06-03,20.7,17.4
268,진도군,2021-06-04,18.7,.7
268,진도군,2021-06-05,20.4,
268,진도군,2021-06-06,21.7,
