,날짜,품목명,평균가격,전일평균가격,전년가격,등급,평균기온,강수량
3,20170101,대파(일반),1254.4,1214.0,0.0,하,4.3,0.0
8,20170103,대파(일반),1214.0,0.0,1434.0,하,5.1,0.0
12,20170104,대파(일반),1838.0,1214.0,1532.0,하,4.4,0.0
16,20170105,대파(일반),1838.0,1838.0,1498.0,하,7.5,0.5
20,20170106,대파(일반),1838.0,1838.0,1419.0,하,7.2,0.2
24,20170107,대파(일반),1254.4,1838.0,1367.0,하,7.1,1.0
29,20170109,대파(일반),1838.0,0.0,0.0,하,5.6,0.0
33,20170110,대파(일반),1547.0,1838.0,1342.0,하,4.2,0.0
37,20170111,대파(일반),1614.0,1547.0,1200.0,하,1.9,0.1
41,20170112,대파(일반),1507.0,1614.0,1200.0,하,3.7,0.2
45,20170113,대파(일반),1564.0,1507.0,1201.0,하,3.1,0.1
49,20170114,대파(일반),1254.4,1564.0,1214.0,하,0.1,0.1
54,20170116,대파(일반),1564.0,0.0,0.0,하,1.8,0.0
58,20170117,대파(일반),1564.0,1564.0,1450.0,하,0.8,0.0
62,20170118,대파(일반),1564.0,1564.0,1360.0,하,3.5,0.0
66,20170119,대파(일반),1667.0,1564.0,1338.0,하,2.5,0.0
70,20170120,대파(일반),1639.0,1667.0,1521.0,하,0.8,5.5
74,20170121,대파(일반),1254.4,1639.0,1468.0,하,1.9,0.0
79,20170123,대파(일반),1763.0,0.0,0.0,하,-0.5,0.2
83,20170124,대파(일반),1824.0,1763.0,1726.0,하,0.9,0.0
87,20170125,대파(일반),1743.0,1824.0,1697.0,하,0.9,0.0
91,20170126,대파(일반),1828.0,1743.0,1600.0,하,1.3,0.0
95,20170127,대파(일반),1254.4,1828.0,2036.0,하,3.1,0.5
99,20170128,대파(일반),1254.4,0.0,2288.0,하,3.9,0.0
105,20170131,대파(일반),1254.4,0.0,2259.0,하,-0.4,0.0
109,20170201,대파(일반),1828.0,0.0,2558.0,하,1.8,0.0
113,20170202,대파(일반),1699.0,1828.0,2508.0,하,0.9,0.0
117,20170203,대파(일반),1672.0,1699.0,2584.0,하,1.7,0.0
121,20170204,대파(일반),1254.4,1672.0,2822.0,하,6.9,3.0
126,20170206,대파(일반),1600.0,0.0,0.0,하,2.9,0.0
130,20170207,대파(일반),1600.0,1600.0,0.0,하,2.4,0.0
134,20170208,대파(일반),1254.4,1600.0,0.0,하,2.6,0.3
138,20170209,대파(일반),1547.0,0.0,0.0,하,0.0,0.5
142,20170210,대파(일반),1535.0,1547.0,1905.0,하,-1.5,4.5
146,20170211,대파(일반),1254.4,1535.0,1758.0,하,0.2,0.5
151,20170213,대파(일반),1900.0,0.0,0.0,하,2.9,0.0
155,20170214,대파(일반),1784.0,1900.0,1301.0,하,3.8,0.0
159,20170215,대파(일반),1672.0,1784.0,1447.0,하,2.1,0.0
163,20170216,대파(일반),1675.0,1672.0,1509.0,하,8.5,2.0
167,20170217,대파(일반),1688.0,1675.0,1448.0,하,5.1,1.0
171,20170218,대파(일반),1254.4,1688.0,1799.0,하,0.7,0.0
176,20170220,대파(일반),1688.0,0.0,0.0,하,3.8,0.5
180,20170221,대파(일반),1688.0,1688.0,0.0,하,3.2,0.0
184,20170222,대파(일반),1688.0,1688.0,1852.0,하,8.1,14.5
188,20170223,대파(일반),1688.0,1688.0,1923.0,하,2.6,0.0
192,20170224,대파(일반),1688.0,1688.0,1992.0,하,1.6,0.0
196,20170225,대파(일반),1254.4,1688.0,1880.0,하,4.0,0.0
201,20170227,대파(일반),1800.0,0.0,0.0,하,3.7,0.0
205,20170228,대파(일반),1832.0,1800.0,1834.0,하,3.7,0.0
209,20170301,대파(일반),1254.4,1832.0,0.0,하,6.9,1.5
213,20170302,대파(일반),2020.0,0.0,1843.0,하,3.4,0.0
217,20170303,대파(일반),2065.0,2020.0,1798.0,하,3.7,0.0
221,20170304,대파(일반),2183.0,2065.0,1883.0,하,5.4,0.0
225,20170305,대파(일반),1254.4,2183.0,0.0,하,6.0,0.0
229,20170306,대파(일반),2332.0,0.0,0.0,하,3.0,0.0
233,20170307,대파(일반),2342.0,2332.0,2102.0,하,0.8,0.5
237,20170308,대파(일반),1254.4,2342.0,2086.0,하,4.0,0.0
241,20170309,대파(일반),2311.0,0.0,1812.0,하,7.1,0.0
245,20170310,대파(일반),2225.0,2311.0,1668.0,하,5.5,0.0
249,20170311,대파(일반),2255.0,2225.0,1789.0,하,6.0,0.0
253,20170312,대파(일반),1254.4,2255.0,0.0,하,8.2,0.0
257,20170313,대파(일반),2102.0,0.0,0.0,하,6.7,0.0
261,20170314,대파(일반),1922.0,2102.0,1700.0,하,6.0,0.0
265,20170315,대파(일반),1865.0,1922.0,1700.0,하,4.9,0.0
269,20170316,대파(일반),1991.0,1865.0,1718.0,하,4.1,0.0
273,20170317,대파(일반),1989.0,1991.0,1700.0,하,5.3,0.0
277,20170318,대파(일반),1984.0,1989.0,1704.0,하,6.7,0.0
281,20170319,대파(일반),1254.4,1984.0,0.0,하,8.9,0.0
285,20170320,대파(일반),1984.0,0.0,0.0,하,8.6,6.0
289,20170321,대파(일반),2114.0,1984.0,1428.0,하,7.0,1.0
293,20170322,대파(일반),1958.0,2114.0,1400.0,하,7.2,0.0
297,20170323,대파(일반),2074.0,1958.0,1400.0,하,7.9,0.0
301,20170324,대파(일반),1657.0,2074.0,1391.0,하,7.7,0.0
305,20170325,대파(일반),2196.0,1657.0,1382.0,하,7.3,3.5
309,20170326,대파(일반),1254.4,2196.0,0.0,하,5.7,0.0
313,20170327,대파(일반),1801.0,0.0,0.0,하,7.1,0.0
317,20170328,대파(일반),1801.0,1801.0,1300.0,하,7.7,5.0
321,20170329,대파(일반),1843.0,1801.0,1553.0,하,9.6,2.5
325,20170330,대파(일반),1253.0,1843.0,1487.0,하,9.4,0.0
329,20170331,대파(일반),1498.0,1253.0,1617.0,하,9.0,4.5
333,20170401,대파(일반),1971.0,1498.0,1617.0,하,8.2,0.0
337,20170402,대파(일반),1971.0,1971.0,0.0,하,7.1,0.0
341,20170403,대파(일반),1700.0,1971.0,0.0,하,8.6,0.0
345,20170404,대파(일반),1658.0,1700.0,1568.0,하,12.5,0.0
349,20170405,대파(일반),1363.0,1658.0,1631.0,하,15.4,28.0
353,20170406,대파(일반),1615.0,1363.0,1630.0,하,12.7,3.5
357,20170407,대파(일반),1594.0,1615.0,1659.0,하,12.0,0.0
361,20170408,대파(일반),1940.0,1594.0,1679.0,하,11.7,0.0
365,20170409,대파(일반),1940.0,1940.0,0.0,하,13.1,0.0
369,20170410,대파(일반),1191.0,1940.0,0.0,하,14.7,0.0
373,20170411,대파(일반),1560.0,1191.0,1700.0,하,10.9,9.5
377,20170412,대파(일반),1457.0,1560.0,1780.0,하,10.6,0.0
381,20170413,대파(일반),1300.0,1457.0,0.0,하,11.9,0.0
385,20170414,대파(일반),1287.0,1300.0,0.0,하,15.7,0.0
389,20170415,대파(일반),1220.0,1287.0,1640.0,하,17.4,0.0
393,20170416,대파(일반),1150.0,1220.0,0.0,하,17.2,0.0
397,20170417,대파(일반),494.0,1150.0,0.0,하,14.8,3.0
401,20170418,대파(일반),1278.0,494.0,1444.0,하,13.0,0.0
405,20170419,대파(일반),1219.0,1278.0,1420.0,하,12.6,0.0
409,20170420,대파(일반),1091.0,1219.0,1330.0,하,12.3,3.5
413,20170421,대파(일반),955.0,1091.0,1414.0,하,13.3,0.0
417,20170422,대파(일반),1200.0,955.0,1439.0,하,12.2,0.0
421,20170423,대파(일반),900.0,1200.0,0.0,하,12.3,0.0
425,20170424,대파(일반),966.0,900.0,0.0,하,14.1,0.0
429,20170425,대파(일반),868.0,966.0,1341.0,하,17.5,0.0
433,20170426,대파(일반),1022.0,868.0,1302.0,하,14.6,0.5
437,20170427,대파(일반),800.0,1022.0,1353.0,하,12.3,0.0
441,20170428,대파(일반),770.0,800.0,1377.0,하,14.5,0.0
445,20170429,대파(일반),800.0,770.0,1372.0,하,16.8,0.0
449,20170430,대파(일반),727.0,800.0,0.0,하,19.3,0.0
453,20170501,대파(일반),734.0,727.0,0.0,하,17.0,0.0
457,20170502,대파(일반),749.0,734.0,1472.0,하,16.8,0.0
461,20170503,대파(일반),789.0,749.0,1348.0,하,17.4,0.0
465,20170504,대파(일반),699.0,789.0,1162.0,하,17.7,4.0
469,20170505,대파(일반),800.0,699.0,1376.0,하,17.8,3.0
473,20170506,대파(일반),789.0,800.0,1273.0,하,14.8,0.0
477,20170507,대파(일반),792.0,789.0,0.0,하,14.8,0.0
481,20170508,대파(일반),720.0,792.0,0.0,하,17.0,0.0
485,20170509,대파(일반),795.0,720.0,1328.0,하,14.6,6.0
489,20170510,대파(일반),1023.0,795.0,1331.0,하,14.7,0.5
493,20170511,대파(일반),834.0,1023.0,1287.0,하,20.1,0.0
497,20170512,대파(일반),800.0,834.0,1377.0,하,18.1,1.0
501,20170513,대파(일반),1122.0,800.0,1328.0,하,17.2,0.0
505,20170514,대파(일반),1122.0,1122.0,0.0,하,15.6,0.0
509,20170515,대파(일반),938.0,1122.0,0.0,하,14.3,0.0
513,20170516,대파(일반),800.0,938.0,0.0,하,14.9,0.0
