,날짜,품목명,평균가격,전일평균가격,전년가격,등급,평균기온,강수량
0,20170101,대파(일반),2509.6,2833.0,0.0,특,4.3,0.0
5,20170103,대파(일반),2833.0,0.0,2761.0,특,5.1,0.0
9,20170104,대파(일반),2797.0,2833.0,2957.0,특,4.4,0.0
13,20170105,대파(일반),2797.0,2797.0,2621.0,특,7.5,0.5
17,20170106,대파(일반),2797.0,2797.0,2599.0,특,7.2,0.2
21,20170107,대파(일반),2509.6,2797.0,2442.0,특,7.1,1.0
26,20170109,대파(일반),2797.0,0.0,0.0,특,5.6,0.0
30,20170110,대파(일반),2527.0,2797.0,2278.0,특,4.2,0.0
34,20170111,대파(일반),2198.0,2527.0,2000.0,특,1.9,0.1
38,20170112,대파(일반),2252.0,2198.0,1934.0,특,3.7,0.2
42,20170113,대파(일반),2500.0,2252.0,1860.0,특,3.1,0.1
46,20170114,대파(일반),2509.6,2500.0,1835.0,특,0.1,0.1
51,20170116,대파(일반),2500.0,0.0,0.0,특,1.8,0.0
55,20170117,대파(일반),2500.0,2500.0,1900.0,특,0.8,0.0
59,20170118,대파(일반),2500.0,2500.0,2365.0,특,3.5,0.0
63,20170119,대파(일반),2500.0,2500.0,2486.0,특,2.5,0.0
67,20170120,대파(일반),2300.0,2500.0,2735.0,특,0.8,5.5
71,20170121,대파(일반),2509.6,2300.0,2587.0,특,1.9,0.0
76,20170123,대파(일반),2400.0,0.0,0.0,특,-0.5,0.2
80,20170124,대파(일반),2443.0,2400.0,3311.0,특,0.9,0.0
84,20170125,대파(일반),2619.0,2443.0,3750.0,특,0.9,0.0
88,20170126,대파(일반),2699.0,2619.0,3800.0,특,1.3,0.0
92,20170127,대파(일반),2509.6,2699.0,3436.0,특,3.1,0.5
96,20170128,대파(일반),2509.6,0.0,3982.0,특,3.9,0.0
102,20170131,대파(일반),2509.6,0.0,4256.0,특,-0.4,0.0
106,20170201,대파(일반),2699.0,0.0,4377.0,특,1.8,0.0
110,20170202,대파(일반),2400.0,2699.0,4029.0,특,0.9,0.0
