,날짜,품목명,평균가격,전일평균가격,전년가격,등급
1,20210526,대파(일반),3601,3662,1868,특
2,20210526,대파(일반),2152,2153,1623,상
3,20210526,대파(일반),1572,1676,1496,중
4,20210526,대파(일반),1180,1392,1208,하
1,20210527,대파(일반),3699,3601,1952,특
2,20210527,대파(일반),1554,2152,1639,상
3,20210527,대파(일반),1247,1572,1500,중
4,20210527,대파(일반),1110,1180,1257,하
1,20210528,대파(일반),3755,3699,1992,특
2,20210528,대파(일반),1594,1554,1628,상
3,20210528,대파(일반),1242,1247,1523,중
4,20210528,대파(일반),1094,1110,1167,하
1,20210529,대파(일반),2317,3755,1769,특
2,20210529,대파(일반),1649,1594,1600,상
3,20210529,대파(일반),1272,1242,1450,중
4,20210529,대파(일반),1084,1094,1176,하
1,20210530,대파(일반),0,2317,1672,특
2,20210530,대파(일반),0,1649,1600,상
3,20210530,대파(일반),0,1272,1444,중
4,20210530,대파(일반),0,1084,1179,하
1,20210531,대파(일반),2202,0,0,특
2,20210531,대파(일반),1648,0,0,상
3,20210531,대파(일반),1306,0,0,중
4,20210531,대파(일반),1024,0,0,하
1,20210601,대파(일반),2892,2202,2044,특
2,20210601,대파(일반),1806,1648,1469,상
3,20210601,대파(일반),1362,1306,1083,중
4,20210601,대파(일반),1054,1024,985,하
1,20210602,대파(일반),2837,2892,1992,특
2,20210602,대파(일반),1728,1806,1530,상
3,20210602,대파(일반),1417,1362,1215,중
4,20210602,대파(일반),1062,1054,982,하
1,20210603,대파(일반),2355,2837,1855,특
2,20210603,대파(일반),1613,1728,1482,상
3,20210603,대파(일반),1209,1417,1358,중
4,20210603,대파(일반),1039,1062,946,하
1,20210604,대파(일반),2268,2355,1865,특
2,20210604,대파(일반),1369,1613,1476,상
3,20210604,대파(일반),1209,1209,1319,중
4,20210604,대파(일반),985,1039,970,하
1,20210605,대파(일반),1785,2268,1974,특
2,20210605,대파(일반),1352,1369,1518,상
3,20210605,대파(일반),1250,1209,1221,중
4,20210605,대파(일반),944,985,974,하
1,20210606,대파(일반),0,1785,1930,특
2,20210606,대파(일반),0,1352,1425,상
3,20210606,대파(일반),0,1250,1188,중
4,20210606,대파(일반),0,944,960,하
