지점,지점명,일시,평균기온(°C),일강수량(mm),일 최심신적설(cm)
268,진도군,20170101,4.3,,
268,진도군,20170102,8.1,0,
268,진도군,20170103,5.1,,
268,진도군,20170104,4.4,,
268,진도군,20170105,7.5,0.5,
268,진도군,20170106,7.2,0.2,
268,진도군,20170107,7.1,1,
268,진도군,20170108,8.1,4,
268,진도군,20170109,5.6,,
268,진도군,20170110,4.2,,
268,진도군,20170111,1.9,0.1,
268,진도군,20170112,3.7,0.2,
268,진도군,20170113,3.1,0.1,
268,진도군,20170114,0.1,0.1,
268,진도군,20170115,-0.5,,
268,진도군,20170116,1.8,,
268,진도군,20170117,0.8,,
268,진도군,20170118,3.5,,
268,진도군,20170119,2.5,,
268,진도군,20170120,0.8,5.5,
268,진도군,20170121,1.9,,
268,진도군,20170122,0.2,1,
268,진도군,20170123,-0.5,0.2,
268,진도군,20170124,0.9,,
268,진도군,20170125,0.9,,
268,진도군,20170126,1.3,,
268,진도군,20170127,3.1,0.5,
268,진도군,20170128,3.9,0,
268,진도군,20170129,8.8,1.5,
268,진도군,20170130,1.2,1.5,
268,진도군,20170131,-0.4,,
268,진도군,20170201,1.8,,
268,진도군,20170202,0.9,,
268,진도군,20170203,1.7,,
268,진도군,20170204,6.9,3,
268,진도군,20170205,6.2,0.5,
268,진도군,20170206,2.9,,
268,진도군,20170207,2.4,,
268,진도군,20170208,2.6,0.3,
268,진도군,20170209,0,0.5,
268,진도군,20170210,-1.5,4.5,
268,진도군,20170211,0.2,0.5,
268,진도군,20170212,1.7,,
268,진도군,20170213,2.9,,
268,진도군,20170214,3.8,,
268,진도군,20170215,2.1,,
268,진도군,20170216,8.5,2,
268,진도군,20170217,5.1,1,
268,진도군,20170218,0.7,,
268,진도군,20170219,6,,
268,진도군,20170220,3.8,0.5,
268,진도군,20170221,3.2,,
268,진도군,20170222,8.1,14.5,
268,진도군,20170223,2.6,,
268,진도군,20170224,1.6,,
268,진도군,20170225,4,,
268,진도군,20170226,3.2,,
268,진도군,20170227,3.7,,
268,진도군,20170228,3.7,,
268,진도군,20170301,6.9,1.5,
268,진도군,20170302,3.4,,
268,진도군,20170303,3.7,,
268,진도군,20170304,5.4,,
268,진도군,20170305,6,,
268,진도군,20170306,3,,
268,진도군,20170307,0.8,0.5,
268,진도군,20170308,4,0,
268,진도군,20170309,7.1,,
268,진도군,20170310,5.5,,
268,진도군,20170311,6,,
268,진도군,20170312,8.2,,
268,진도군,20170313,6.7,,
268,진도군,20170314,6,,
268,진도군,20170315,4.9,,
268,진도군,20170316,4.1,,
268,진도군,20170317,5.3,,
268,진도군,20170318,6.7,,
268,진도군,20170319,8.9,,
268,진도군,20170320,8.6,6,
268,진도군,20170321,7,1,
268,진도군,20170322,7.2,,
268,진도군,20170323,7.9,,
268,진도군,20170324,7.7,,
268,진도군,20170325,7.3,3.5,
268,진도군,20170326,5.7,,
268,진도군,20170327,7.1,,
268,진도군,20170328,7.7,5,
268,진도군,20170329,9.6,2.5,
268,진도군,20170330,9.4,,
268,진도군,20170331,9,4.5,
268,진도군,20170401,8.2,,
268,진도군,20170402,7.1,,
268,진도군,20170403,8.6,,
268,진도군,20170404,12.5,,
268,진도군,20170405,15.4,28,
268,진도군,20170406,12.7,3.5,
268,진도군,20170407,12,,
268,진도군,20170408,11.7,,
268,진도군,20170409,13.1,,
268,진도군,20170410,14.7,,
