사용월,호선명,역ID,지하철역, 4:00, 5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00,01:00,02:00,03:00
Nov-19,1호선,150,서울역,1019,11590,14391,42971,87305,67678,68167,90965,99178,101652,86494,118199,123372,173386,256149,138349,97617,97623,71535,34270,3959,2,0,0
Nov-19,1호선,151,시청,78,2305,3912,8160,10751,13525,17379,24491,28068,35230,45316,57429,70921,91667,170360,74106,60743,61804,40170,14929,917,1,0,0
Nov-19,1호선,152,종각,99,4307,4480,7318,12414,15581,20750,32824,41344,56259,66526,81845,94418,146602,248103,121851,105922,124509,100457,45860,3847,0,0,0
Nov-19,1호선,153,종로3가,187,5307,4617,6657,11028,15803,26365,39660,53173,66401,76172,85615,95877,101394,122185,84314,64827,72171,61122,26081,3031,6,0,0
Nov-19,1호선,154,종로5가,39,2195,3118,5783,9742,13901,23086,34593,45972,58668,68442,72326,77039,95767,124043,67845,45822,39951,31979,10796,827,0,0,0
Nov-19,1호선,155,동대문,710,15526,11602,17880,24318,24082,21499,23887,28225,31431,33072,34465,33651,33872,32396,22377,18076,16448,14334,8082,1058,1,0,0
Nov-19,1호선,156,신설동,271,10616,10298,21042,32014,23688,21311,24345,26149,28092,27377,30156,35668,46693,72125,28881,18719,17427,12800,5815,586,0,0,0
Nov-19,1호선,157,제기동,332,5141,8529,23473,36695,26657,28050,36778,44321,50394,56140,64759,63023,54443,48078,24867,16651,12035,8948,3956,422,0,0,0
Nov-19,1호선,158,청량리(서울시립대입구),1521,12560,17611,46531,63210,42191,36022,41746,48480,52272,54937,61289,66974,64121,52989,31692,25793,20091,14421,6591,398,1,0,0
Nov-19,1호선,159,동묘앞,129,3732,3527,7269,10256,9733,10926,16821,22788,30203,35716,39028,43377,39812,28207,12446,7452,6382,4047,1899,235,1,0,0
Nov-19,2호선,201,시청,57,1286,2393,6040,9910,13822,19981,27882,28606,35695,41947,49192,56193,95717,199432,71042,51537,47844,33029,13780,1969,4,1,0
Nov-19,2호선,202,을지로입구,123,3130,3981,9414,18110,25610,33622,44519,51618,68681,79635,94376,110094,163528,319467,158091,144499,124190,86363,40514,4527,2,0,0
Nov-19,2호선,203,을지로3가,11,1166,2613,6746,12368,16330,20248,24516,26536,31022,35532,40974,48825,80996,144011,68546,48273,49183,40996,22493,3917,13,0,0
Nov-19,2호선,204,을지로4가,10,997,1850,3680,6790,10927,14100,16770,19401,21818,26373,30533,33314,54621,76820,36957,19588,16326,11515,5500,1005,5,0,0
Nov-19,2호선,205,동대문역사문화공원,425,10450,6466,9048,16901,16551,18494,22689,28764,30337,34827,42981,52070,58458,67098,43374,33261,31008,29448,20299,3700,11,0,0
Nov-19,2호선,206,신당,59,6630,12291,29786,51084,32610,22747,21606,24195,25838,26553,26335,30124,35065,39835,24999,18496,17239,12476,6649,1030,6,0,0
Nov-19,2호선,207,상왕십리,29,6342,13271,41746,71581,38862,24840,22493,23455,22881,20539,22399,23219,27555,33269,20691,13893,12940,10047,4087,624,4,0,0
Nov-19,2호선,208,왕십리(성동구청),964,8464,11898,30342,59134,37792,25317,25704,29122,31304,29995,32613,40997,47114,51352,33926,32125,36744,36265,24286,4197,7,0,0
Nov-19,2호선,209,한양대,9,1414,2567,6274,10966,8862,9930,21140,19977,19023,24077,41127,46617,57497,47447,22548,20506,25501,16296,8829,1822,3,0,0
Nov-19,2호선,210,뚝섬,13,4420,9036,23740,36399,22660,17851,19071,22640,27140,29041,32307,40419,55093,116160,57855,33207,32133,21744,8946,1361,2,0,0
Nov-19,2호선,211,성수,27,5676,10912,26987,37253,30128,24637,26338,29599,35617,38867,43666,52651,92417,211789,88445,51887,48757,36264,15531,2173,3,0,0
Nov-19,2호선,212,건대입구,373,20698,25538,61867,112345,77048,47425,45251,54961,60788,62495,68605,78420,96141,107338,81840,82772,97384,101697,64919,11317,11,0,0
Nov-19,2호선,213,구의(광진구청),33,14625,27789,71828,129644,77155,40721,35327,35779,36120,33124,31401,34769,40084,48539,26727,20607,19343,17054,10262,1896,6,1,0
Nov-19,2호선,214,강변(동서울터미널),28,9758,30448,94258,146892,114715,91555,83635,80815,77673,73985,73570,76301,84108,92413,78571,67916,53889,37617,15154,2204,4,0,0
Nov-19,2호선,215,잠실나루,6,3193,11878,41799,58940,36569,28326,28571,28545,26550,27728,29564,33666,40158,36884,20005,15539,11294,7583,3713,615,4,0,0
Nov-19,2호선,216,잠실(송파구청),97,13761,50143,126498,195042,145994,99765,100451,110949,124229,131320,145869,168310,221001,287327,201789,185693,164175,131142,47938,4902,17,0,0
Nov-19,2호선,217,잠실새내,45,5558,17504,62984,96460,59648,38810,36323,38608,38380,34803,36381,41652,44324,48348,35551,31573,32527,31438,18782,3124,6,0,0
Nov-19,2호선,218,종합운동장,4,1991,6787,19488,31618,22903,17381,15913,16252,17981,17647,20394,25681,25001,22217,15365,13563,11592,5012,2274,356,0,1,0
Nov-19,2호선,219,삼성(무역센터),156,5730,9035,19412,28329,28616,30563,44909,59942,81694,99481,124299,149681,229074,349892,215152,155211,128388,97341,27765,3843,4,0,0
Nov-19,2호선,220,선릉,112,6268,12217,23851,40234,40470,42610,56565,66735,79382,86332,106338,144690,188484,313925,158186,99385,100191,84940,33721,5602,3,0,0
Nov-19,2호선,221,역삼,56,4366,9180,17305,31689,29547,29612,39740,49213,61323,66993,86028,106517,188222,301434,152768,91677,91193,66343,27312,4962,4,1,0
Nov-19,2호선,222,강남,274,15757,24937,46985,77059,68489,65933,86404,111077,142881,149581,179638,204182,276607,387701,252975,209318,255424,266574,122348,22860,24,0,0
Nov-19,2호선,223,교대(법원.검찰청),38,2899,14284,30637,46445,37882,35661,42307,45714,58706,65821,70553,74040,107911,163939,82662,69947,74175,61912,25391,5102,9,0,0
Nov-19,2호선,224,서초,14,1413,7472,16445,28186,30322,24259,33242,36757,43952,44210,48929,57422,78926,117753,56361,38957,40940,25841,8410,1135,2,0,0
Nov-19,2호선,225,방배,13,3165,10946,26581,41140,34610,25155,26723,29067,33536,34910,41093,49189,60214,84433,38393,29162,29872,25250,11771,2564,1,0,0
Nov-19,2호선,226,사당,318,14678,25379,80097,116092,85276,57448,52372,61536,67268,70809,68213,73400,87751,110318,81753,76400,86455,87032,50596,8790,31,0,0
Nov-19,2호선,227,낙성대,66,12581,27928,88822,144211,93757,50022,41924,46392,47266,42157,44970,48669,55487,62780,36826,27898,25824,21488,12438,2154,6,1,0
