사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2020-02,1호선,0150,서울역,753,16,"8,656","5,881","11,027","38,332","32,573","81,286","58,541","193,055","41,153","127,717","39,848","58,253","49,968","50,161","56,518","53,540","59,305","53,103","50,532","51,812","67,661","52,243","75,481","54,169","119,660","60,448","196,464","70,707","99,142","51,008","65,245","33,678","63,755","26,761","43,085","21,612","19,466","12,290","1,797","3,647",2,126,2,2,0,0,2020-03-03 12:13:59
2020-02,1호선,0151,시청,42,0,"1,952","3,560","3,300","16,533","6,242","57,309","8,081","178,660","9,755","78,662","11,906","32,268","15,555","28,906","17,343","27,050","20,853","27,973","26,042","24,310","32,906","19,579","38,779","16,991","60,679","16,297","144,434","17,295","56,175","10,215","40,610","5,814","39,470","5,451","26,459","4,165","9,531","2,749",371,692,1,11,0,0,0,0,2020-03-03 12:13:59
2020-02,1호선,0152,종각,79,3,"3,146","4,391","3,467","24,993","5,274","94,607","9,004","242,224","10,742","141,336","14,303","58,760","22,674","47,931","29,614","42,370","39,649","46,933","43,715","39,584","54,178","33,611","64,149","32,451","113,121","37,647","206,201","48,256","97,266","30,281","79,150","11,785","88,384","8,033","68,375","5,344","30,708","3,360","1,828",943,3,5,0,1,0,0,2020-03-03 12:13:59
2020-02,1호선,0153,종로3가,116,22,"3,846","2,299","3,476","11,699","4,511","23,897","7,227","69,206","10,308","80,209","18,606","63,778","28,926","58,115","39,599","56,960","50,736","62,819","49,961","52,998","57,690","44,003","64,043","37,181","72,521","33,092","98,198","38,211","63,162","23,269","43,353","9,373","48,776","6,978","37,560","5,254","16,268","3,806","1,658","1,698",0,10,0,0,0,0,2020-03-03 12:13:59
2020-02,1호선,0154,종로5가,44,0,"1,780","3,073","2,460","13,332","4,470","34,278","7,062","107,991","9,872","66,371","15,829","45,804","23,775","43,150","29,149","41,831","35,732","38,577","41,196","37,081","45,721","32,749","49,226","26,949","68,408","24,541","100,527","22,501","51,766","14,254","32,218","7,127","26,344","5,358","18,963","3,617","6,666","2,295",448,708,1,1,0,0,0,0,2020-03-03 12:13:59
2020-02,1호선,0155,동대문,798,8,"13,638","1,759","8,461","5,858","12,050","10,105","17,226","22,032","17,358","21,608","14,598","18,803","15,589","20,013","18,269","20,398","19,826","20,618","20,551","20,451","20,955","19,782","22,126","17,999","22,813","18,518","23,275","19,959","16,262","21,960","12,753","14,276","11,927","11,836","9,231","11,183","5,391","9,774",781,"3,497",0,27,0,0,0,0,2020-03-03 12:13:59
2020-02,1호선,0156,신설동,279,8,"9,027","1,800","8,286","6,848","16,764","20,439","25,071","64,136","17,232","32,688","14,185","19,543","16,642","16,934","18,092","16,906","19,723","17,172","19,669","17,270","20,811","17,312","23,381","18,552","36,047","21,539","60,610","25,878","23,986","20,518","14,977","12,892","13,509","11,760","10,148","11,325","4,570","7,438",465,"2,140",0,1,0,0,0,0,2020-03-03 12:13:59
2020-02,1호선,0157,제기동,285,1,"3,993","1,979","7,081","7,156","18,157","15,693","28,083","38,523","19,128","34,420","18,729","28,151","23,552","32,643","27,906","36,196","31,793","39,289","35,249","36,906","39,804","30,933","39,297","27,340","37,339","21,881","39,786","23,668","19,636","18,025","12,475","10,896","9,711","9,139","7,292","8,521","3,096","5,612",314,"1,280",0,0,0,0,0,0,2020-03-03 12:13:59
2020-02,1호선,0158,청량리(서울시립대입구),"1,087",20,"9,557","3,643","13,553","10,991","37,384","13,602","49,828","31,590","31,174","25,598","24,636","26,050","27,448","32,636","32,259","36,157","33,983","39,861","36,404","40,972","40,114","38,135","43,310","35,782","41,838","37,058","40,191","49,893","23,984","37,063","17,951","19,997","12,546","18,941","9,608","16,645","4,050","11,899",293,"3,921",1,5,0,0,0,0,2020-03-03 12:13:59
