year,GNI,lifeExp_male,lifeExp_female
1970,256 ,58.7,65.8
1971,273 ,59.1,66.3
1972,285 ,59.4,66.8
1973,321 ,59.7,67.3
1974,336 ,60,67.8
1975,345 ,60.3,68.2
1976,397 ,60.6,68.6
1977,445 ,60.9,69.1
1978,493 ,61.1,69.5
1979,523 ,61.4,69.9
1980,486 ,61.9,70.4
1981,505 ,62.4,70.9
1982,546 ,62.9,71.5
1983,614 ,63.4,71.9
1984,670 ,64,72.6
1985,708 ,64.6,73.2
1986,799 ,65.3,73.8
1987,910 ,65.9,74.3
1988,1022 ,66.5,74.8
1989,1100 ,67,75.3
1990,1192 ,67.5,75.9
1991,1310 ,67.9,76.4
1992,1375 ,68.4,76.8
1993,1460 ,68.9,77.3
1994,1581 ,69.3,77.7
1995,1702 ,69.7,77.9
1996,1798 ,70.2,78.3
1997,1854 ,70.7,78.7
1998,1699 ,71.2,79
1999,1868 ,71.8,79.2
2000,1972 ,72.3,79.7
2001,2034 ,72.9,80.1
2002,2197 ,73.4,80.3
2003,2244 ,73.8,80.8
2004,2332 ,74.3,81.2
2005,2383 ,74.9,81.6
2006,2465 ,75.4,82.1
2007,2592 ,75.9,82.5
2008,2582 ,76.2,83
2009,2633 ,76.7,83.4
2010,2808 ,76.8,83.6
2011,2832 ,77.3,84
2012,2900 ,77.6,84.2
2013,2998 ,78.1,84.6
2014,3083 ,78.6,85
2015,3260 ,79,85.2
2016,3391 ,79.3,85.4
2017,3493 ,79.7,85.7
2018,3518 ,79.7,85.7
2019,3528 ,80.3,86.3
