지점,지점명,일시,평균기온(°C),일강수량(mm),일 최심적설(cm)
143,대구,2017-01-01,3.4,,
143,대구,2017-01-02,5.3,,
143,대구,2017-01-03,5.2,,
143,대구,2017-01-04,3.9,,
143,대구,2017-01-05,3.4,,
143,대구,2017-01-06,4.9,,
143,대구,2017-01-07,3.3,,
143,대구,2017-01-08,7.4,,
143,대구,2017-01-09,6.2,,
143,대구,2017-01-10,1.7,,
143,대구,2017-01-11,-.7,,
143,대구,2017-01-12,1.2,,
143,대구,2017-01-13,-.6,0,
143,대구,2017-01-14,-4.3,,
143,대구,2017-01-15,-3.3,,
143,대구,2017-01-16,-1.4,,
143,대구,2017-01-17,-1,,
143,대구,2017-01-18,2.1,,
143,대구,2017-01-19,1.2,,
143,대구,2017-01-20,-.7,.7,.4
143,대구,2017-01-21,-1.3,,
143,대구,2017-01-22,-2.7,1.5,2
143,대구,2017-01-23,-4.4,,
143,대구,2017-01-24,-2.6,,
143,대구,2017-01-25,-2.2,,
143,대구,2017-01-26,-.3,,
143,대구,2017-01-27,3.7,0,
143,대구,2017-01-28,2,,
143,대구,2017-01-29,3.9,.2,
143,대구,2017-01-30,.8,.1,
143,대구,2017-01-31,-.6,,
