지점,지점명,일시,평균기온(°C),일강수량(mm),일 최심신적설(cm)
268,진도군,2017-01-01,4.3,,
268,진도군,2017-01-02,8.1,0,
268,진도군,2017-01-03,5.1,,
268,진도군,2017-01-04,4.4,,
268,진도군,2017-01-05,7.5,.5,
268,진도군,2017-01-06,7.2,.2,
268,진도군,2017-01-07,7.1,1,
268,진도군,2017-01-08,8.1,4,
268,진도군,2017-01-09,5.6,,
268,진도군,2017-01-10,4.2,,
268,진도군,2017-01-11,1.9,.1,
268,진도군,2017-01-12,3.7,.2,
268,진도군,2017-01-13,3.1,.1,
268,진도군,2017-01-14,.1,.1,
268,진도군,2017-01-15,-.5,,
268,진도군,2017-01-16,1.8,,
268,진도군,2017-01-17,.8,,
268,진도군,2017-01-18,3.5,,
268,진도군,2017-01-19,2.5,,
268,진도군,2017-01-20,.8,5.5,
268,진도군,2017-01-21,1.9,,
268,진도군,2017-01-22,.2,1,
268,진도군,2017-01-23,-.5,.2,
268,진도군,2017-01-24,.9,,
268,진도군,2017-01-25,.9,,
268,진도군,2017-01-26,1.3,,
268,진도군,2017-01-27,3.1,.5,
268,진도군,2017-01-28,3.9,0,
268,진도군,2017-01-29,8.8,1.5,
268,진도군,2017-01-30,1.2,1.5,
268,진도군,2017-01-31,-.4,,
268,진도군,2017-02-01,1.8,,
268,진도군,2017-02-02,.9,,
268,진도군,2017-02-03,1.7,,
268,진도군,2017-02-04,6.9,3,
268,진도군,2017-02-05,6.2,.5,
268,진도군,2017-02-06,2.9,,
268,진도군,2017-02-07,2.4,,
268,진도군,2017-02-08,2.6,.3,
268,진도군,2017-02-09,0,.5,
268,진도군,2017-02-10,-1.5,4.5,
268,진도군,2017-02-11,.2,.5,
268,진도군,2017-02-12,1.7,,
268,진도군,2017-02-13,2.9,,
268,진도군,2017-02-14,3.8,,
268,진도군,2017-02-15,2.1,,
268,진도군,2017-02-16,8.5,2,
268,진도군,2017-02-17,5.1,1,
268,진도군,2017-02-18,.7,,
268,진도군,2017-02-19,6,,
268,진도군,2017-02-20,3.8,.5,
268,진도군,2017-02-21,3.2,,
268,진도군,2017-02-22,8.1,14.5,
268,진도군,2017-02-23,2.6,,
268,진도군,2017-02-24,1.6,,
268,진도군,2017-02-25,4,,
268,진도군,2017-02-26,3.2,,
268,진도군,2017-02-27,3.7,,
268,진도군,2017-02-28,3.7,,
268,진도군,2017-03-01,6.9,1.5,
268,진도군,2017-03-02,3.4,,
268,진도군,2017-03-03,3.7,,
268,진도군,2017-03-04,5.4,,
268,진도군,2017-03-05,6,,
268,진도군,2017-03-06,3,,
268,진도군,2017-03-07,.8,.5,
268,진도군,2017-03-08,4,0,
268,진도군,2017-03-09,7.1,,
268,진도군,2017-03-10,5.5,,
268,진도군,2017-03-11,6,,
268,진도군,2017-03-12,8.2,,
268,진도군,2017-03-13,6.7,,
268,진도군,2017-03-14,6,,
268,진도군,2017-03-15,4.9,,
268,진도군,2017-03-16,4.1,,
268,진도군,2017-03-17,5.3,,
268,진도군,2017-03-18,6.7,,
268,진도군,2017-03-19,8.9,,
268,진도군,2017-03-20,8.6,6,
268,진도군,2017-03-21,7,1,
268,진도군,2017-03-22,7.2,,
268,진도군,2017-03-23,7.9,,
268,진도군,2017-03-24,7.7,,
268,진도군,2017-03-25,7.3,3.5,
268,진도군,2017-03-26,5.7,,
268,진도군,2017-03-27,7.1,,
