사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2020-10,1호선,1,서울역,924642,867575,164817,154920
2020-10,1호선,10,동묘앞,129868,140413,148493,150601
2020-10,1호선,2,시청,432235,441369,59314,56895
2020-10,1호선,3,종각,742425,733823,113554,107509
2020-10,1호선,4,종로3가,401426,367992,267189,250128
2020-10,1호선,5,종로5가,334699,347996,222073,215046
2020-10,1호선,6,동대문,215609,223103,109800,113115
2020-10,1호선,7,신설동,254511,256538,104533,100200
2020-10,1호선,8,제기동,219703,213229,253380,271939
2020-10,1호선,9,청량리(서울시립대입구),318848,312612,246843,252427
2020-10,2호선,11,시청,480522,468990,40673,36790
2020-10,2호선,12,을지로입구,835849,853385,81285,75743
2020-10,2호선,13,을지로3가,421423,420508,59600,58897
2020-10,2호선,14,을지로4가,225694,226029,76457,75084
2020-10,2호선,15,동대문역사문화공원(DDP),276598,316126,45262,47808
2020-10,2호선,16,신당,275287,280942,82584,85258
2020-10,2호선,17,상왕십리,295109,280136,52899,53026
2020-10,2호선,18,왕십리(성동구청),376780,310941,43658,37480
2020-10,2호선,19,한양대,182595,203531,11172,11787
2020-10,2호선,20,뚝섬,445338,481170,49083,49858
2020-10,2호선,21,성수,681643,762820,84808,86581
2020-10,2호선,22,건대입구,854490,950677,77091,79690
2020-10,2호선,23,구의(광진구청),500459,482716,85152,86528
2020-10,2호선,24,강변(동서울터미널),769026,743680,102892,101860
2020-10,2호선,25,잠실나루,284814,273307,66625,66766
2020-10,2호선,26,잠실(송파구청),1592058,1561033,150499,142520
2020-10,2호선,27,잠실새내,432342,443420,80790,81486
2020-10,2호선,28,종합운동장,175638,196573,32291,33846
2020-10,2호선,29,삼성(무역센터),1112181,1143465,87837,80784
2020-10,2호선,30,선릉,1105702,996180,168050,149880
2020-10,2호선,31,역삼,963598,1087474,121859,123353
2020-10,2호선,32,강남,1940463,1989674,139031,124122
2020-10,2호선,33,교대(법원.검찰청),681434,774106,121843,136410
2020-10,2호선,34,서초,457176,447248,60213,60712
2020-10,2호선,35,방배,372893,388515,60031,59049
2020-10,2호선,36,사당,826657,943727,150530,146356
2020-10,2호선,37,낙성대(강감찬),624856,593016,89549,91050
2020-10,2호선,38,서울대입구(관악구청),1091951,1069930,153365,147622
2020-10,2호선,39,봉천,505613,452004,118070,117708
2020-10,2호선,40,신림,1465312,1406394,186915,189272
2020-10,2호선,41,신대방,586090,556840,105157,106391
2020-10,2호선,42,구로디지털단지,1366317,1363215,138370,139983
2020-10,2호선,43,대림(구로구청),574803,584940,96685,99571
2020-10,2호선,44,신도림,1126074,1120633,159472,150880
2020-10,2호선,45,문래,445580,461219,63395,62766
2020-10,2호선,46,영등포구청,466416,478453,81983,81251
2020-10,2호선,47,당산,437400,503398,51504,55817
2020-10,2호선,48,합정,732410,800065,58017,58495
2020-10,2호선,49,홍대입구,1339966,1476241,81964,79278
2020-10,2호선,50,신촌,745935,787400,100277,98415
2020-10,2호선,51,이대,285258,298655,39673,40457
2020-10,2호선,52,아현,207859,194812,53904,53169
2020-10,2호선,53,충정로(경기대입구),206218,218202,40065,39864
2020-10,2호선,54,용답,52629,50864,15249,14582
2020-10,2호선,55,신답,29769,33773,8586,9157
2020-10,2호선,56,신설동,60815,56390,29007,30596
2020-10,2호선,57,도림천,25619,26428,6138,6774
2020-10,2호선,58,양천구청,133325,138965,37460,38111
2020-10,2호선,59,신정네거리,194405,197908,56944,58332
2020-10,2호선,60,용두(동대문구청),37294,38021,19529,20870
2020-10,3호선,61,지축,70618,67059,14869,15561
2020-10,3호선,62,구파발,449065,430114,99679,95804
2020-10,3호선,63,연신내,784466,727440,222459,212645
2020-10,3호선,64,불광,321750,351135,116065,128266
2020-10,3호선,65,녹번,312060,272412,61668,60852
2020-10,3호선,66,홍제,335995,312244,120817,118423
2020-10,3호선,67,무악재,75228,75109,24251,26191
2020-10,3호선,68,독립문,133800,146889,63419,63140
2020-10,3호선,69,경복궁(정부서울청사),424003,432637,65322,62426
2020-10,3호선,70,안국,428902,464603,64268,67354
2020-10,3호선,71,종로3가,181619,236855,46650,53828
2020-10,3호선,72,을지로3가,192019,211491,42517,41701
2020-10,3호선,73,충무로,25,0,4,0
2020-10,3호선,74,동대입구,165799,181395,30070,34540
2020-10,3호선,75,약수,262711,258390,68761,65088
2020-10,3호선,76,금호,166015,149820,46320,45239
2020-10,3호선,77,옥수,191109,197075,49370,49776
2020-10,3호선,78,압구정,668067,734324,105733,103566
2020-10,3호선,79,신사,690782,758622,58889,56565
2020-10,3호선,80,잠원,106035,105364,27228,26741
2020-10,3호선,81,고속터미널,1037161,1000447,135138,129822
2020-10,3호선,82,교대(법원.검찰청),280562,186935,53583,32941
2020-10,3호선,83,남부터미널(예술의전당),638483,649343,95001,96199
2020-10,3호선,84,양재(서초구청),798009,880993,119977,121485
2020-10,3호선,85,매봉,235782,228830,47987,44085
2020-10,3호선,86,도곡,109276,112779,20845,19046
2020-10,3호선,87,대치,229774,224695,47605,45465
2020-10,3호선,88,학여울,40534,41852,12174,11962
2020-10,3호선,89,대청,195333,176804,46094,44127
2020-10,3호선,90,일원,184400,180819,47574,46922
2020-10,3호선,91,수서,348323,346480,84981,83512
2020-10,3호선,92,가락시장,164955,164274,64704,63363
2020-10,3호선,93,경찰병원,148735,147910,34277,35131
2020-10,3호선,94,오금,132462,118645,23414,22571
2020-10,4호선,100,수유(강북구청),724327,715749,165326,164634
2020-10,4호선,101,미아(서울사이버대학),303090,281275,96271,97688
2020-10,4호선,102,미아사거리,582452,560746,153890,152795
2020-10,4호선,103,길음,425482,404716,94379,94068
2020-10,4호선,104,성신여대입구(돈암),455337,436222,70962,68692
2020-10,4호선,105,한성대입구(삼선교),294317,288931,60561,59706
2020-10,4호선,106,혜화,707776,730345,103287,101698
2020-10,4호선,107,동대문,383798,393797,129131,122363
2020-10,4호선,108,동대문역사문화공원(DDP),339894,322095,46801,42469
2020-10,4호선,109,충무로,523042,548072,97258,98319
2020-10,4호선,110,명동,419364,448222,47517,48648
2020-10,4호선,111,회현(남대문시장),419362,452790,143835,144242
2020-10,4호선,112,서울역,230955,357808,31253,36404
2020-10,4호선,113,숙대입구(갈월),281588,277986,43067,40342
2020-10,4호선,114,삼각지,90866,107860,19417,20619
2020-10,4호선,115,신용산,332911,350931,41228,41471
2020-10,4호선,116,이촌(국립중앙박물관),154489,172459,36646,39146
2020-10,4호선,117,동작(현충원),47705,50257,22546,21420
2020-10,4호선,118,총신대입구(이수),373087,412266,121777,127974
2020-10,4호선,119,사당,583049,499243,71775,71127
2020-10,4호선,120,남태령,24047,19204,7331,6799
2020-10,4호선,95,당고개,257799,227325,79232,78248
2020-10,4호선,96,상계,401296,360854,100459,98084
2020-10,4호선,97,노원,427590,495544,74232,73416
2020-10,4호선,98,창동,516526,545460,159514,165038
2020-10,4호선,99,쌍문,633820,555907,132840,130200
2020-10,경부선,121,서울역,137844,33590,8087,1846
2020-10,경부선,122,남영,211884,222009,31652,32988
2020-10,경부선,123,용산,782470,784729,102792,102132
2020-10,경부선,124,노량진,218991,221302,35067,32988
2020-10,경부선,125,대방,273998,280952,55197,54711
2020-10,경부선,126,영등포,870656,915719,193709,194152
2020-10,경부선,127,신도림,86208,86637,22429,24783
2020-10,경부선,151,신길,206792,170857,37551,34244
2020-10,경부선,249,구로,415003,432966,79994,77717
