사용월,호선명,역ID,지하철역,4:00:00,5:00:00,6:00:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00,1:00,2:00,3:00
Oct-20,1호선,1,서울역,742,9080,10910,30876,55416,40016,39380,47975,56279,59742,49972,66332,70498,117347,170618,89282,60157,58415,41353,14988,71,10,0,0
Oct-20,1호선,10,동묘앞,132,3178,3276,5598,7558,6955,8393,13287,19154,27150,31753,35209,35160,33198,24124,9768,5473,4665,3041,1282,6,1,0,0
Oct-20,1호선,2,시청,30,1849,2920,5780,7239,7592,8683,12560,13633,17418,22359,29588,34831,63868,116917,45847,35862,34468,22497,7583,25,0,0,0
Oct-20,1호선,3,종각,118,2993,3477,5244,8042,10188,13597,20842,25926,32837,39817,51458,59233,114145,176710,79239,64265,71092,54573,22100,78,3,2,0
Oct-20,1호선,4,종로3가,229,3923,3693,4878,6775,9904,16904,28029,36197,43553,50161,55510,60941,70198,92624,54663,40178,41998,34907,13250,90,10,0,0
Oct-20,1호선,5,종로5가,47,1686,2432,4372,6835,10016,15987,24341,30170,35931,43675,48429,52331,69130,92073,45347,28410,23102,16935,5502,19,2,0,0
Oct-20,1호선,6,동대문,532,12218,8828,13721,17576,16953,15628,17447,20503,22146,24126,24503,25449,26456,24435,16300,12709,11700,9802,4337,36,4,0,0
Oct-20,1호선,7,신설동,351,8182,7745,15607,22221,16030,14181,16855,17791,20106,20425,22394,28191,38035,53207,20793,13252,12113,8556,2988,18,3,0,0
Oct-20,1호선,8,제기동,454,4560,7628,19552,28156,20605,24062,33407,39267,41580,44964,47688,42727,39556,35166,16207,10446,8416,6326,2302,14,0,0,0
Oct-20,1호선,9,청량리(서울시립대입구),1440,10486,14031,36547,43816,30326,28489,34249,37393,39732,43075,45513,49681,47206,40268,22565,17100,11870,8549,3294,60,1,0,0
Oct-20,2호선,11,시청,26,916,1805,4079,6268,7599,10261,14640,14759,19048,23458,27770,32000,70659,147523,50886,33678,30289,19433,6078,17,2,1,0
Oct-20,2호선,12,을지로입구,97,2011,2555,6646,11132,12488,14465,21884,27029,37019,42829,53310,63383,130703,210339,93746,85107,55163,35911,11298,13,6,0,0
Oct-20,2호선,13,을지로3가,9,835,1835,4387,7680,8218,9857,12522,13933,17597,20822,25167,30681,64117,110660,47227,31279,31641,29023,13496,29,8,0,0
Oct-20,2호선,14,을지로4가,5,921,1492,2595,4779,6131,7800,11044,13674,15368,18309,21685,25247,45059,61279,28548,15058,11620,8343,3177,16,1,0,0
Oct-20,2호선,15,동대문역사문화공원(DDP),243,6875,4636,5593,8622,8686,9313,12820,14336,16299,20382,25595,30095,37233,39952,25213,18419,18903,13145,5476,19,5,0,0
Oct-20,2호선,16,신당,29,5822,10439,23594,38674,23922,16374,16183,17997,19522,20126,20536,23042,27074,32471,20514,14991,12422,9984,4133,15,7,0,0
Oct-20,2호선,17,상왕십리,72,5317,11263,33990,53650,29450,18050,16972,17050,17385,15675,17215,17500,21834,26496,16119,10750,9526,7390,2301,3,0,0,0
Oct-20,2호선,18,왕십리(성동구청),828,6663,8835,23160,40268,25477,17378,17667,19493,20848,20671,22315,25346,31557,36843,23088,21025,22616,23546,12699,107,8,0,0
Oct-20,2호선,19,한양대,2,983,2215,4462,7684,5665,5278,7413,8563,9622,10617,13321,17268,26966,26506,13381,10223,11403,8475,3709,8,3,0,0
Oct-20,2호선,20,뚝섬,26,3400,7171,17452,24978,15923,12510,12711,15279,18303,20917,24812,31129,50396,103241,52397,30658,27436,19587,6073,14,8,0,0
Oct-20,2호선,21,성수,47,5092,8452,21797,28552,22036,18677,19439,22022,26396,29197,33883,43756,85276,181903,82577,47241,45226,34190,10678,12,2,0,0
Oct-20,2호선,22,건대입구,265,16062,20466,48418,81666,55961,32617,31299,36465,40507,41916,46036,52978,66096,80858,59037,59026,62883,66699,32226,85,15,0,0
Oct-20,2호선,23,구의(광진구청),45,12699,23314,58436,98171,58166,30701,26395,27572,27947,25448,24685,27500,32325,39709,21227,16281,15202,13792,5952,36,6,2,0
Oct-20,2호선,24,강변(동서울터미널),11,8253,23505,67028,97589,69686,52330,48997,48599,48621,45437,45300,49716,54781,61226,48610,39533,32174,22792,7689,26,15,0,0
Oct-20,2호선,25,잠실나루,3,2588,9969,34456,41338,25594,19319,19241,18781,18817,19453,20113,24884,29607,28159,13949,10241,7468,5472,1976,8,3,0,0
Oct-20,2호선,26,잠실(송파구청),73,10998,40059,94196,139059,101752,65540,65062,73077,80941,82104,92324,109621,147264,187707,128687,128931,102390,72322,20368,72,10,0,0
Oct-20,2호선,27,잠실새내,9,4459,13652,47605,63245,37613,24144,22661,25424,25877,23710,25166,29888,31251,35331,25853,22276,22000,22167,10747,34,20,0,0
Oct-20,2호선,28,종합운동장,5,1632,5129,15166,20708,15496,9548,8773,9385,9045,9317,10136,12262,15999,16242,10017,9366,17970,8639,3082,10,2,0,0
Oct-20,2호선,29,삼성(무역센터),191,4628,6470,14365,18650,18134,18806,28104,34746,44202,53477,67709,87269,156615,255905,144234,97252,80135,56023,13086,12,5,0,0
Oct-20,2호선,30,선릉,124,4563,10068,18432,27600,26469,28958,38453,45327,53915,62448,76659,106628,159574,253512,127236,77488,74030,62784,19439,37,8,0,0
Oct-20,2호선,31,역삼,142,3552,8015,13130,21532,21262,19590,26767,33031,38794,46483,60404,79607,155443,239858,122033,68805,65221,46198,15573,11,6,0,0
Oct-20,2호선,32,강남,168,10075,18331,33868,54804,44289,42147,58302,73311,89767,97372,122743,142216,216067,317292,199463,148834,173262,175770,61276,97,39,1,0
Oct-20,2호선,33,교대(법원.검찰청),17,2388,10842,21651,30434,24861,23466,28755,31804,37445,45453,50811,56369,86898,131810,63270,46730,50779,44693,14770,29,2,0,0
Oct-20,2호선,34,서초,24,1179,6509,12407,20143,21512,16995,20389,20925,25011,27232,33308,37873,62081,94365,42684,26060,25870,17850,4963,4,5,0,0
Oct-20,2호선,35,방배,11,2652,8632,20880,28727,23561,17049,17527,19071,21718,22466,25664,30360,41087,64054,27612,19334,19328,17174,6002,11,4,0,0
Oct-20,2호선,36,사당,123,11954,22868,65150,91587,66057,41116,37739,44346,46750,47619,48438,54159,65006,85223,58413,51992,56420,55511,26638,61,17,0,0
Oct-20,2호선,37,낙성대(강감찬),58,10896,23151,70864,112337,72253,38801,33050,35765,36125,32781,33670,35606,42031,46278,27569,20661,19472,16217,6794,21,5,0,0
Oct-20,2호선,38,서울대입구(관악구청),3904,27391,39269,113572,170405,109765,60304,54065,59222,60996,58411,62511,67909,75508,85711,51936,42738,43507,41115,17033,34,10,0,0
Oct-20,2호선,39,봉천,87,14778,25535,74160,110989,66300,35652,29431,31356,30889,27168,26694,28696,29008,31735,18638,14829,13261,10527,3935,11,3,1,0
Oct-20,2호선,40,신림,357,37958,69706,186562,279951,167023,90969,75991,80603,76641,71124,68757,76193,81266,84279,56735,46456,44278,39329,17971,58,20,0,0
Oct-20,2호선,41,신대방,142,23885,32768,80035,116759,71662,40670,33254,33083,32128,28168,27616,30832,34294,39771,22597,16739,12438,10142,4241,20,3,0,0
Oct-20,2호선,42,구로디지털단지,272,37732,49233,125002,167507,105952,60736,54377,59165,61032,56111,58284,70148,120063,207237,105463,60695,50724,39513,15388,41,11,1,0
Oct-20,2호선,43,대림(구로구청),646,34782,27392,60423,86280,58473,34870,30142,32778,32467,30049,31286,34219,42472,55026,27930,19902,15474,11725,5127,25,0,0,0
Oct-20,2호선,44,신도림,3796,34234,44676,117516,122304,78900,52255,51942,60018,62912,61691,64083,71494,90313,121432,72692,58381,57765,41479,17580,76,6,1,0
Oct-20,2호선,45,문래,11,3216,11128,38147,40741,24128,17614,17007,18677,20605,21196,22325,27405,46029,94643,35122,22555,22056,18693,7659,17,1,0,0
Oct-20,2호선,46,영등포구청,31,5354,11305,36496,42107,26947,20833,21723,23150,24407,25281,27654,32442,48343,95444,35339,24931,22924,17280,6396,8,4,0,0
Oct-20,2호선,47,당산,75,6315,14559,40868,51111,30535,20889,20327,21717,22404,21178,21688,25932,39633,60214,28014,20154,19281,16918,7069,21,2,0,0
Oct-20,2호선,48,합정,88,7567,15555,38599,50695,33686,24218,25556,28457,33017,34443,37415,45188,62888,99813,67647,50506,56023,55436,23553,60,17,0,0
Oct-20,2호선,49,홍대입구,624,17977,22805,54503,67545,44983,33557,39103,47599,58846,60472,72286,91454,118595,150985,114767,108287,127677,132980,56375,464,46,0,0
Oct-20,2호선,50,신촌,70,6049,11653,28979,40574,29538,28349,32604,40929,43541,46451,52116,62092,79100,82647,57988,57057,59440,62626,24351,40,18,0,0
Oct-20,2호선,51,이대,32,2441,5865,17031,21977,14027,10947,12346,17793,19432,17297,20303,27007,36310,32460,19646,16324,16295,13342,4053,3,0,0,0
Oct-20,2호선,52,아현,17,4725,9063,24269,32537,19234,14057,13727,15019,14232,13962,15669,18793,18031,18451,11156,7467,5766,4017,1566,4,1,0,0
Oct-20,2호선,53,충정로(경기대입구),28,3064,5849,13700,19015,12461,9948,10573,10579,11215,11334,12381,15118,23419,45416,15468,9453,8418,6565,2270,8,1,0,0
Oct-20,2호선,54,용답,29,2366,3018,6931,10970,5497,3724,3333,3601,3952,3620,3344,3717,4181,3599,2164,1360,1146,977,349,0,0,0,0
Oct-20,2호선,55,신답,0,942,1598,5377,8444,3483,1932,1719,1829,1774,1597,1495,1511,1982,2131,943,559,451,479,107,2,0,0,0
Oct-20,2호선,56,신설동,19,1190,1104,2824,5172,3819,3530,4268,5451,6375,7347,8061,8807,10829,10111,4207,2457,2196,1577,468,10,0,0,0
Oct-20,2호선,57,도림천,20,263,922,2553,2685,1750,1754,1487,2209,1548,1974,2413,2414,2849,3208,1741,775,679,356,157,0,0,0,0
Oct-20,2호선,58,양천구청,5,4137,10011,28547,25977,14325,9510,9210,10039,9014,6991,6686,7812,8520,8428,3792,2557,2416,2176,626,2,4,0,0
Oct-20,2호선,59,신정네거리,78,7413,13359,40406,38108,20520,13688,12646,13079,12697,10941,10375,12961,14054,11391,6538,5005,3811,3115,1153,11,0,0,0
Oct-20,2호선,60,용두(동대문구청),18,986,1372,4064,6729,3589,2856,3216,3436,3389,3581,3915,4121,4452,5329,2189,1339,1170,827,245,0,0,0,0
Oct-20,3호선,61,지축,3,1141,4834,14816,14062,6728,4591,4413,4242,3833,3733,4080,5001,5328,3910,1845,1204,859,670,191,3,0,0,0
Oct-20,3호선,62,구파발,117,8785,26909,75107,74470,37745,26617,25901,27357,26258,26632,30608,35645,36887,31751,18937,13990,12509,10254,2248,17,0,0,0
Oct-20,3호선,63,연신내,297,24709,46123,122445,145940,80623,55953,51574,54367,53092,49805,49663,54956,54432,49089,34705,26571,24214,20859,7469,28,11,0,0
Oct-20,3호선,64,불광,31,8277,17317,46065,55820,30805,22248,21520,22803,24191,24257,25268,26645,29096,30562,17896,12767,11379,8287,2566,12,3,0,0
Oct-20,3호선,65,녹번,43,8178,20933,57425,66172,36110,22464,18784,18424,17512,15702,14372,15938,17413,18887,8890,6178,5334,3883,1083,2,1,0,0
Oct-20,3호선,66,홍제,64,8653,18794,54259,62424,37836,27395,25771,26766,25063,23484,23259,26676,29028,26334,14272,10477,8232,6071,1947,6,1,0,0
Oct-20,3호선,67,무악재,17,1670,4490,13150,14922,8985,6289,5610,5295,5076,4482,4219,5255,5769,6071,2825,1990,1587,1296,480,0,1,0,0
